+[2009-03-09T07:28:20] *** Unlocked Screen ***
-[2009-03-09T16:22:03] *** Locked Screen ***
+[2009-03-10T07:01:34] *** Unlocked Screen ***
-[2009-03-10T11:16:54] *** Locked Screen ***
+[2009-03-10T11:27:09] *** Unlocked Screen ***
-[2009-03-10T16:13:48] *** Locked Screen ***
+[2009-03-11T07:19:22] *** Unlocked Screen ***
-[2009-03-11T15:57:07] *** Locked Screen ***
+[2009-03-12T06:55:36] *** Unlocked Screen ***
-[2009-03-12T15:53:26] *** Locked Screen ***
+[2009-03-13T07:01:15] *** Unlocked Screen ***
-[2009-03-13T15:42:44] *** Locked Screen ***
+[2009-03-16T07:21:05] *** Unlocked Screen ***
-[2009-03-16T16:06:05] *** Locked Screen ***
+[2009-03-17T07:11:28] *** Unlocked Screen ***
-[2009-03-17T12:56:59] *** Locked Screen ***
+[2009-03-17T13:15:28] *** Unlocked Screen ***
-[2009-03-17T15:52:35] *** Locked Screen ***
+[2009-03-18T07:13:19] *** Unlocked Screen ***
-[2009-03-18T15:58:34] *** Locked Screen ***
+[2009-03-25T07:22:51] *** Unlocked Screen ***
#[2009-03-25T15:35:06] ***starting***
-[2009-03-25T16:17:07] ***out***
+[2009-03-25T16:18:18] ***in***
-[2009-03-25T16:19:27] ***out***
+[2009-03-26T07:02:09] ***in***
-[2009-03-26T15:54:31] ***out***
+[2009-03-27T07:07:39] ***in***
-[2009-03-27T15:47:40] ***out***
+[2009-03-30T07:44:24] ***in***
-[2009-03-30T16:41:26] ***out***
+[2009-03-31T07:07:20] ***in***
-[2009-03-31T17:27:09] ***out***
+[2009-04-01T08:35:42] ***in***
-[2009-04-01T15:04:34] ***out***
+[2009-04-01T15:36:20] ***in***
-[2009-04-01T16:43:04] ***out***
+[2009-04-02T08:43:22] ***in***
-[2009-04-02T16:58:47] ***out***
+[2009-04-03T08:17:47] ***out***

-[2009-04-03T13:53:20] ***out***
+[2009-04-03T13:54:14] ***in***
-[2009-04-03T13:58:41] ***out***
+[2009-04-03T14:19:37] ***in***
-[2009-04-03T17:28:38] ***out***
+[2009-04-06T08:08:32] ***in***
-[2009-04-06T11:16:03] ***out***
+[2009-04-06T11:26:31] ***in***
-[2009-04-06T17:27:32] ***out***
+[2009-04-07T07:53:44] ***in***
-[2009-04-07T16:55:17] ***out***
+[2009-04-08T07:57:58] ***in***
-[2009-04-08T17:08:10] ***out***
+[2009-04-09T08:06:38] ***in***
-[2009-04-09T13:41:55] ***out***
+[2009-04-09T14:09:39] ***in***
-[2009-04-09T17:08:53] ***out***
+[2009-04-14T07:52:07] ***in***
-[2009-04-14T18:06:39] ***out***
+[2009-04-15T08:02:41] ***in***
-[2009-04-15T18:49:46] ***out***
+[2009-04-16T08:17:35] ***in***
-[2009-04-16T17:59:30] ***out***
+[2009-04-17T08:31:40] ***in***
-[2009-04-17T16:46:26] ***out***
+[2009-04-20T11:24:06] ***in***
-[2009-04-20T17:14:50] ***out***
+[2009-04-21T10:27:51] ***in***
-[2009-04-21T15:38:16] ***out***
+[2009-04-21T16:46:43] ***in***
-[2009-04-21T20:01:18] ***out***
+[2009-04-22T11:00:37] ***in***
-[2009-04-22T19:46:28] ***out***
+[2009-04-23T10:40:09] ***in***
-[2009-04-23T19:28:18] ***out***
+[2009-04-24T09:59:49] ***in***
-[2009-04-24T19:21:40] ***out***
+[2009-04-27T09:40:28] ***in***
-[2009-04-27T18:01:27] ***out***
+[2009-04-28T08:06:27] ***in***
-[2009-04-28T16:32:50] ***out***
+[2009-04-29T10:12:47] ***in***
-[2009-04-29T18:26:55] ***out***
+[2009-04-30T08:07:47] ***in***
-[2009-04-30T16:57:21] ***out***
+[2009-05-04T09:01:11] ***in***
-[2009-05-04T17:42:51] ***out***
+[2009-05-05T08:15:39] ***in***
-[2009-05-05T17:05:10] ***out***
+[2009-05-06T08:23:28] ***in***
-[2009-05-06T17:51:00] ***out***
+[2009-05-07T08:10:35] ***in***
-[2009-05-07T17:28:50] ***out***
+[2009-05-08T10:21:38] ***in***
-[2009-05-08T17:20:21] ***out***
+[2009-05-11T08:19:34] ***in***
-[2009-05-11T17:40:38] ***out***
+[2009-05-12T09:12:18] ***in***
-[2009-05-12T14:24:56] ***out***
+[2009-05-12T14:41:06] ***in***
-[2009-05-12T18:01:17] ***out***
+[2009-05-13T08:15:24] ***in***
-[2009-05-13T17:10:10] ***out***
+[2009-05-14T08:16:30] ***in***
-[2009-05-14T17:41:13] ***out***
+[2009-05-15T08:08:49] ***in***
-[2009-05-15T16:59:47] ***out***
+[2009-05-18T08:55:30] ***in***
-[2009-05-18T16:53:34] ***out***
+[2009-05-19T12:15:03] ***in***
-[2009-05-19T19:02:03] ***out***
+[2009-05-20T08:07:42] ***in***
-[2009-05-20T17:51:12] ***out***
+[2009-05-25T07:56:28] ***in***
-[2009-05-25T17:36:06] ***out***
+[2009-05-26T08:09:15] ***in***
-[2009-05-26T17:16:19] ***out***
+[2009-05-27T08:04:41] ***in***
-[2009-05-27T17:10:30] ***out***
+[2009-05-28T08:12:52] ***in***
-[2009-05-28T16:58:33] ***out***
+[2009-05-28T17:01:52] ***in***
-[2009-05-28T17:04:17] ***out***
+[2009-06-02T08:21:11] ***in***
-[2009-06-02T17:03:32] ***out***
+[2009-06-03T08:15:08] ***in***
-[2009-06-03T17:11:21] ***out***
+[2009-06-04T09:28:09] ***in***
-[2009-06-04T18:20:20] ***out***
+[2009-06-05T08:12:20] ***in***
-[2009-06-05T17:25:07] ***out***
+[2009-06-08T08:03:29] ***in***
-[2009-06-08T18:23:28] ***out***
+[2009-06-09T07:59:47] ***in***
-[2009-06-09T17:06:06] ***out***
+[2009-06-10T08:42:13] ***in***
-[2009-06-10T16:48:24] ***out***
+[2009-06-12T08:22:53] ***in***
-[2009-06-12T17:30:15] ***out***
+[2009-06-15T08:10:09] ***in***
-[2009-06-15T17:27:23] ***out***
+[2009-06-16T08:18:16] ***in***
-[2009-06-16T16:48:33] ***out***
+[2009-06-17T08:01:21] ***in***
-[2009-06-17T16:49:12] ***out***
+[2009-06-18T08:05:59] ***in***
-[2009-06-18T16:35:30] ***out***
+[2009-06-19T08:02:35] ***in***
-[2009-06-19T15:08:15] ***out***
+[2009-06-22T08:09:06] ***in***
-[2009-06-22T17:16:46] ***out***
+[2009-06-23T08:29:36] ***in***
-[2009-06-23T17:00:31] ***out***
+[2009-06-24T08:10:57] ***in***
-[2009-06-24T16:48:52] ***out***
+[2009-06-25T09:36:22] ***in***
-[2009-06-25T17:33:59] ***out***
+[2009-06-26T08:10:13] ***in***
-[2009-06-26T17:07:41] ***out***
+[2009-06-29T08:10:21] ***in***
-[2009-06-29T16:51:32] ***out***
+[2009-06-30T07:52:16] ***in***
-[2009-06-30T16:38:59] ***out***
+[2009-07-01T08:39:17] ***in***
-[2009-07-01T17:13:29] ***out***
+[2009-07-02T08:14:30] ***in***
-[2009-07-02T16:54:51] ***out***
+[2009-07-03T08:19:23] ***in***
-[2009-07-03T13:24:44] ***out***
+[2009-07-03T13:57:47] ***in***
-[2009-07-03T17:27:23] ***out***
+[2009-07-06T09:34:31] ***in***
-[2009-07-06T18:31:11] ***out***
+[2009-07-07T08:02:04] ***in***
-[2009-07-07T16:53:39] ***out***
+[2009-07-08T08:27:12] ***in***
-[2009-07-08T17:25:09] ***out***
+[2009-07-09T09:13:49] ***in***
-[2009-07-09T17:29:44] ***out***
+[2009-07-10T09:02:54] ***in***
-[2009-07-10T17:49:52] ***out***
+[2009-07-20T08:08:07] ***in***
-[2009-07-20T17:57:08] ***out***
+[2009-07-21T08:54:12] ***in***
-[2009-07-21T17:11:20] ***out***
+[2009-07-22T08:02:40] ***in***
-[2009-07-22T16:44:50] ***out***
+[2009-07-23T08:37:32] ***in***
-[2009-07-23T17:31:17] ***out***
+[2009-07-24T08:34:59] ***in***
-[2009-07-24T17:14:42] ***out***
+[2009-07-27T08:18:33] ***in***
-[2009-07-27T16:12:40] ***out***
+[2009-07-28T08:08:09] ***in***
-[2009-07-28T17:34:14] ***out***
+[2009-07-29T08:05:51] ***in***
-[2009-07-29T17:19:31] ***out***
+[2009-07-30T08:03:05] ***in***
#[2009-07-30T16:28:06] ***starting***
-[2009-07-30T17:08:04] ***out***
+[2009-07-31T08:57:16] ***in***
-[2009-07-31T16:33:04] ***out***
+[2009-08-03T08:14:27] ***in***
-[2009-08-03T17:10:52] ***out***
+[2009-08-04T08:01:58] ***in***
-[2009-08-04T17:06:01] ***out***
+[2009-08-05T08:01:47] ***in***
-[2009-08-05T13:44:01] ***out***
+[2009-08-05T13:55:33] ***in***
-[2009-08-05T15:09:36] ***out***
+[2009-08-06T08:07:55] ***in***
-[2009-08-06T17:30:51] ***out***
